NOG,tax
aciNOG,Acidobacteria
acidNOG,Acidobacteriia
acoNOG,Aconoidasida
actNOG,Actinobacteria
agaNOG,Agaricales
agarNOG,Agaricomycetes
apiNOG,Apicomplexa
aproNOG,Proteobacteria_alpha
aquNOG,Aquificae
arNOG,Archaea
arcNOG,Archaeoglobi
artNOG,Arthropoda
arthNOG,Arthrodermataceae
ascNOG,Ascomycota
aveNOG,Aves
bacNOG,Bacilli
bactNOG,Bacteria
bacteNOG,Bacteroidia
basNOG,Basidiomycota
bctoNOG,Bacteroidetes
biNOG,Bilateria
bproNOG,Proteobacteria_beta
braNOG,Brassicales
carNOG,Carnivora
chaNOG,Chaetomiaceae
chlNOG,Chlorobi
chlaNOG,Chlamydiae
chloNOG,Chloroflexi
chlorNOG,Chloroflexi
chloroNOG,Chlorophyta
chorNOG,Chordata
chrNOG,Chromadorea
cloNOG,Clostridia
cocNOG,Coccidia
creNOG,Crenarchaeota
cryNOG,Cryptosporidiidae
cyaNOG,Cyanobacteria
cytNOG,Cytophagia
debNOG,Debaryomycetaceae
defNOG,Deferribacteres
dehNOG,Dehalococcoidetes
deiNOG,Deinococcusthermus
delNOG,delta/epsilon
dipNOG,Diptera
dotNOG,Dothideomycetes
dproNOG,Proteobacteria_delta
droNOG,Drosophilidae
eproNOG,Proteobacteria_epsilon
eryNOG,Erysipelotrichi
euNOG,Eukaryotes
eurNOG,Euryarchaeota
euroNOG,Eurotiomycetes
eurotNOG,Eurotiales
fiNOG,Fishes
firmNOG,Firmicutes
flaNOG,Flavobacteriia
fuNOG,Fungi
fusoNOG,Fusobacteria
gproNOG,Proteobacteria_gamma
haeNOG,Haemosporida
halNOG,Halobacteria
homNOG,Hominidae
hymNOG,Hymenoptera
hypNOG,Hypocreales
inNOG,Insects
kinNOG,Kinetoplastida
lepNOG,Lepidoptera
lilNOG,Liliopsida
maNOG,Mammals
magNOG,Magnaporthales
meNOG,Animals
metNOG,Methanobacteria
methNOG,Methanococci
methaNOG,Methanomicrobia
necNOG,Nectriaceae
negNOG,Negativicutes
nemNOG,Nematodes
onyNOG,Onygenales
opiNOG,Opisthokonts
perNOG,Peronosporales
plaNOG,Planctomycetes
pleNOG,Pleosporales
poaNOG,Poales
prNOG,Primates
proNOG,Proteobacteria
rhaNOG,Rhabditida
roNOG,Rodents
sacNOG,Saccharomycetaceae
saccNOG,Saccharomycetes
sorNOG,Sordariales
sordNOG,Sordariomycetes
sphNOG,Sphingobacteriia
spiNOG,Spirochaetes
spriNOG,Supraprimates
strNOG,Streptophyta
synNOG,Synergistetes
tenNOG,Tenericutes
thaNOG,Thaumarchaeota
theNOG,Thermoplasmata
therNOG,Thermotogae
thermNOG,Thermococci
treNOG,Tremellales
veNOG,Vertebrates
verNOG,Verrucomicrobia
verrNOG,Verrucomicrobiae
virNOG,Viridiplantae
